source_node,target_node,number_of_removed_directed_edges,mean_removed_edge_distance_A,baseline_prediction,edge_removed_prediction,signed_output_change,absolute_output_change
30,50,2,1.9490385055541992,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
32,50,2,1.9490433931350708,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
32,69,2,1.9566494226455688,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
30,67,2,1.9566494226455688,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
24,61,2,1.9566494226455688,0.15600550174713135,0.1560056507587433,1.4901161193847656e-07,1.4901161193847656e-07
30,42,2,1.9490379095077515,0.15600550174713135,0.1560056358575821,1.341104507446289e-07,1.341104507446289e-07
3,55,2,1.9490385055541992,0.15600550174713135,0.1560056209564209,1.1920928955078125e-07,1.1920928955078125e-07
3,63,2,1.9490379095077515,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
5,59,2,1.9490433931350708,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
5,65,2,1.9490379095077515,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
5,57,2,1.9490385055541992,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
11,65,2,1.9490433931350708,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
11,63,2,1.9490385055541992,0.15600550174713135,0.1560056060552597,1.043081283569336e-07,1.043081283569336e-07
3,57,2,1.9490433931350708,0.15600550174713135,0.1560055911540985,8.940696716308594e-08,8.940696716308594e-08
11,71,2,1.9490379095077515,0.15600550174713135,0.1560055911540985,8.940696716308594e-08,8.940696716308594e-08
9,63,2,1.9490433931350708,0.15600550174713135,0.15600548684597015,-1.4901161193847656e-08,1.4901161193847656e-08
9,61,2,1.9490385055541992,0.15600550174713135,0.15600551664829254,1.4901161193847656e-08,1.4901161193847656e-08
7,67,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
7,61,2,1.9490433931350708,0.15600550174713135,0.15600550174713135,0.0,0.0
7,65,2,1.9490385055541992,0.15600550174713135,0.15600550174713135,0.0,0.0
7,43,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
9,45,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
9,69,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
20,50,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
20,38,2,1.9490433931350708,0.15600550174713135,0.15600550174713135,0.0,0.0
20,40,2,1.9490385055541992,0.15600550174713135,0.15600550174713135,0.0,0.0
20,57,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
15,57,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
15,51,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
15,67,2,1.9490385055541992,0.15600550174713135,0.15600550174713135,0.0,0.0
15,69,2,1.9490433931350708,0.15600550174713135,0.15600550174713135,0.0,0.0
28,65,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
28,40,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
28,46,2,1.9490433931350708,0.15600550174713135,0.15600550174713135,0.0,0.0
28,42,2,1.9490385055541992,0.15600550174713135,0.15600550174713135,0.0,0.0
26,46,2,1.9490385055541992,0.15600550174713135,0.15600550174713135,0.0,0.0
26,44,2,1.9490433931350708,0.15600550174713135,0.15600550174713135,0.0,0.0
26,38,2,1.9490379095077515,0.15600550174713135,0.15600550174713135,0.0,0.0
26,63,2,1.9566494226455688,0.15600550174713135,0.15600550174713135,0.0,0.0
